Sexo,RendaFamiliar,CorRaca,Idade,Semest,CategoriadeSituacao,Turno,CargaHorariaMinimaRegulamentada,FatordeEsforcodeCurso,Regiao
"M","NA","Preta",26,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
"M","NA","Preta",25,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
"M","0,5<RFP<=1","Preta",31,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
"M","NA","Preta",24,10,"Concluintes","Integral",3600,1.14,"Região Sudeste"
"F","NA","Preta",22,10,"Concluintes","Integral",3600,1.1,"Região Centro-Oeste"
"M","NA","Preta",24,10,"Concluintes","Integral",3600,1.1,"Região Centro-Oeste"
"M","NA","Preta",27,10,"Concluintes","Integral",3600,1.19,"Região Sudeste"
"M","0,5<RFP<=1","Preta",24,10,"Concluintes","Integral",3600,1.15,"Região Sudeste"
"M","NA","Preta",25,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
"M","NA","Preta",26,10,"Concluintes","Integral",3600,1.16,"Região Nordeste"
