CategoriadeSituacao,Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Turno,CargaHorariaMinimaRegulamentada,InscritoVagas,FatordeEsforcodeCurso,Regiao
"Evadidos","M","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3600,19.25,1.16,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,26.85,1.15,"Regiao Norte"
"Evadidos","M","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3600,18.425,1.16,"Regiao Norte"
"Evadidos","M","NA","Preta","30 a 34 anos","Integral",2400,20.475,1,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3600,16.35,1.16,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,0.95,1.15,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Evadidos","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",2400,42.475,1.13,"Regiao Sudeste"
"Evadidos","M","NA","Preta","20 a 24 anos","Integral",3600,4.375,1.15,"Regiao Nordeste"
"Evadidos","M","NA","Preta","25 a 29 anos","Integral",3600,4.375,1.15,"Regiao Nordeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,11.25,1.19,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,13.4,1.16,"Regiao Sudeste"
"Evadidos","M","NA","Preta","30 a 34 anos","Integral",3600,13.4,1.16,"Regiao Sudeste"
"Evadidos","F","1.5<RFP<=2.5","Preta","20 a 24 anos","Integral",3600,28.9,1.16,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,34.6,1.06,"Regiao Sudeste"
"Evadidos","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,4.525,1.15,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","40 a 44 anos","Integral",3000,71.525,1.21,"Regiao Sudeste"
"Evadidos","M","0.5<RFP<=1","Preta","30 a 34 anos","Integral",3600,23.15,1.19,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","35 a 39 anos","Integral",3000,168,1.21,"Regiao Sudeste"
"Evadidos","M","2.5<RFP<=3.5","Preta","25 a 29 anos","Integral",3000,95.95,1.21,"Regiao Sudeste"
"Evadidos","M","1.5<RFP<=2.5","Preta","35 a 39 anos","Integral",3000,2.475,1.21,"Regiao Sudeste"
"Evadidos","F","NA","Preta","20 a 24 anos","Integral",3000,71.525,1.21,"Regiao Sudeste"
"Evadidos","M","NA","Preta","45 a 49 anos","Integral",3000,2.475,1.21,"Regiao Sudeste"
"Evadidos","M","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3000,120.65,1.21,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,0.875,1.15,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,0.875,1.15,"Regiao Sudeste"
"Evadidos","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3200,16.175,1.24,"Regiao Nordeste"
"Evadidos","F","NA","Preta","30 a 34 anos","Integral",3200,31.55,1.15,"Regiao Sudeste"
"Evadidos","M","0<RFP<=0.5","Preta","15 a 19 anos","Integral",3600,6.95,1.15,"Regiao Centro-Oeste"
